id_servicio,tipo_cliente,tipo_servicio,plan,velocidad_bajada_mbps,velocidad_subida_mbps,precio_contratado,antiguedad_meses,cantidad_equipos,cantidad_tickets,tickets_abiertos,tickets_criticos,promedio_dias_resolucion,cantidad_facturas,facturas_vencidas,monto_facturado,monto_pagado,saldo_pendiente,dias_atraso_promedio,cantidad_interacciones,cancelo_servicio,probabilidad_cancelacion,prediccion_cancelacion,nivel_riesgo
11,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1469,7,2,7,1,3,5.35,7,3,11825.45,7892.46,3932.99,27.29,5,1,0.4722222222222222,0,Medio
12,Persona natural,Cable,Cable 100 Mbps,100,20,754,15,2,9,2,3,15.3,15,4,13006.5,9283.31,3723.19,24.46,9,0,0.3,0,Medio
13,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1485,31,2,1,0,0,1.51,18,1,30739.5,29314.46,1425.04,2.07,2,0,0.11382113821138211,0,Bajo
14,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,967,8,2,1,1,0,7.63,8,2,8896.4,8259.35,637.05,8.31,6,0,0.0,0,Bajo
15,Empresa,Fibra óptica,Fibra 200 Mbps,200,100,1044,48,2,1,0,0,2.2,18,1,21610.8,21552.52,58.28,0.1,3,0,0.0,0,Bajo
16,Empresa,Enlace dedicado,Dedicado 300 Mbps,300,300,6003,42,3,5,0,0,7.59,18,2,124262.1,117046.8,7215.3,8.64,3,0,0.4074074074074074,0,Medio
17,Persona natural,Fibra óptica,Fibra 100 Mbps,100,50,848,24,2,4,1,3,6.89,18,6,17553.6,14081.01,3472.59,23.34,9,1,1.0,1,Alto
18,Persona natural,Cable,Cable 100 Mbps,100,20,799,5,2,6,3,1,6.58,5,0,4594.25,3128.8,1465.45,1.62,6,0,0.3037037037037037,0,Medio
19,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1490,33,2,0,0,0,0.0,18,2,30843.0,30470.05,372.95,3.45,2,0,0.0,0,Bajo
20,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,1000,23,2,3,1,0,7.22,18,0,20700.0,17623.68,3076.32,11.5,4,0,0.11382113821138211,0,Bajo
21,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,1030,39,2,1,0,0,5.29,18,4,21321.0,18435.51,2885.49,13.9,5,0,0.11382113821138211,0,Bajo
22,Persona natural,Fibra óptica,Fibra 100 Mbps,100,50,827,24,2,0,0,0,0.0,18,1,17118.9,16626.85,492.05,2.72,3,0,0.0,0,Bajo
23,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,988,23,2,9,3,2,18.34,18,5,20451.6,11719.08,8732.52,15.33,9,1,1.0,1,Alto
24,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1533,43,2,2,1,0,1.36,18,0,31733.1,31112.51,620.59,0.48,1,0,0.0,0,Bajo
25,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,613,37,2,1,0,0,7.02,18,5,12689.1,11402.26,1286.84,10.92,6,0,0.14,0,Bajo
26,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,668,32,2,4,1,0,7.99,18,1,13827.6,12037.03,1790.57,8.63,5,1,0.3037037037037037,0,Medio
27,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,641,42,2,4,1,0,6.32,18,3,13268.7,10998.39,2270.31,3.95,3,0,0.3037037037037037,0,Medio
28,Empresa,Enlace dedicado,Dedicado 300 Mbps,300,300,6031,34,3,1,0,1,2.57,18,0,124841.7,120312.94,4528.76,1.13,2,0,0.11382113821138211,0,Bajo
29,Persona natural,Cable,Cable 50 Mbps,50,10,585,32,2,2,0,0,1.22,18,0,12109.5,12057.12,52.38,1.66,2,0,0.0,0,Bajo
30,Persona natural,Inalámbrico,Inalámbrico 20 Mbps,20,10,492,15,2,4,0,1,8.86,15,3,8487.0,7108.99,1378.01,3.76,6,0,0.3037037037037037,0,Medio
31,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,954,20,2,1,0,0,1.32,18,1,19747.8,19437.44,310.36,2.72,3,0,0.0,0,Bajo
32,Persona natural,Fibra óptica,Fibra 100 Mbps,100,50,807,23,2,2,0,0,2.94,18,2,16704.9,15891.19,813.71,0.07,1,0,0.0,0,Bajo
33,Persona natural,Fibra óptica,Fibra 100 Mbps,100,50,765,44,2,2,0,0,1.79,18,2,15835.5,15095.73,739.77,1.38,2,0,0.0,0,Bajo
34,Empresa,Cable,Cable 50 Mbps,50,10,613,56,2,1,0,0,2.68,18,0,12689.1,12291.07,398.03,0.26,3,0,0.0,0,Bajo
35,Persona natural,Cable,Cable 50 Mbps,50,10,594,35,2,1,1,0,4.46,18,3,12295.8,10407.85,1887.95,12.15,6,0,0.3037037037037037,0,Medio
36,Persona natural,Inalámbrico,Inalámbrico 20 Mbps,20,10,500,22,2,0,0,0,0.0,18,2,10350.0,9973.86,376.14,3.77,3,0,0.0,0,Bajo
37,Persona natural,Cable,Cable 50 Mbps,50,10,616,60,2,1,1,0,2.12,18,0,12751.2,12313.23,437.97,0.86,1,0,0.0,0,Bajo
38,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1470,57,2,1,0,0,0.99,18,0,30429.0,29824.07,604.93,1.52,1,0,0.0,0,Bajo
39,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,671,36,2,5,1,1,4.12,18,5,13889.7,12540.33,1349.37,9.02,4,0,0.3037037037037037,0,Medio
40,Persona natural,Inalámbrico,Inalámbrico 20 Mbps,20,10,459,20,2,9,1,1,15.18,18,7,9501.3,6583.21,2918.09,16.29,4,0,0.4722222222222222,0,Medio
41,Persona natural,Inalámbrico,Inalámbrico 20 Mbps,20,10,536,41,2,1,1,0,2.13,18,6,11095.2,9369.38,1725.82,4.99,4,1,0.3037037037037037,0,Medio
42,Persona natural,Cable,Cable 50 Mbps,50,10,627,26,2,4,0,0,7.85,18,5,12978.9,10736.84,2242.06,8.39,4,0,0.3037037037037037,0,Medio
43,Empresa,Fibra óptica,Fibra 500 Mbps,500,250,1452,44,2,0,0,0,0.0,18,2,30056.4,29808.38,248.02,2.74,2,0,0.0,0,Bajo
44,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1464,21,2,1,0,0,0.0,18,3,30304.8,29981.16,323.64,2.54,2,0,0.0,0,Bajo
45,Persona natural,Fibra óptica,Fibra 100 Mbps,100,50,794,6,2,5,1,2,13.19,6,1,5478.6,4464.04,1014.56,28.76,10,0,0.0,0,Bajo
46,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1514,16,2,8,2,4,10.52,16,4,27857.6,19276.03,8581.57,21.26,7,0,0.45,0,Medio
47,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,644,57,2,1,0,0,2.89,18,2,13330.8,12715.51,615.29,0.69,1,0,0.0,0,Bajo
48,Empresa,Enlace dedicado,Dedicado 100 Mbps,100,100,3513,51,3,1,0,0,2.5,18,1,72719.1,71671.25,1047.85,4.64,3,0,0.0,0,Bajo
49,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,966,23,2,4,0,0,2.91,18,4,19996.2,17184.71,2811.49,9.22,2,1,0.11382113821138211,0,Bajo
50,Persona natural,Cable,Cable 100 Mbps,100,20,735,6,2,6,1,2,7.53,6,0,5071.5,2917.78,2153.72,1.28,8,1,1.0,1,Alto
51,Persona natural,Inalámbrico,Inalámbrico 20 Mbps,20,10,452,39,2,5,1,0,5.17,18,5,9356.4,8305.1,1051.3,14.55,2,1,0.14,0,Bajo
52,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,1046,9,2,7,3,2,13.75,9,0,10826.1,8374.44,2451.66,0.8,4,1,0.11382113821138211,0,Bajo
53,Persona natural,Cable,Cable 100 Mbps,100,20,756,25,2,5,0,2,4.56,18,3,15649.2,13606.99,2042.21,12.79,3,1,0.3037037037037037,0,Medio
54,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,691,24,2,4,3,0,13.66,18,4,14303.7,10567.81,3735.89,19.41,9,1,0.6764705882352942,1,Alto
55,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,1007,42,2,3,1,0,7.63,18,2,20844.9,19575.95,1268.95,14.46,4,0,0.0,0,Bajo
56,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1505,59,2,1,0,0,2.62,18,2,31153.5,30964.09,189.41,2.39,2,0,0.0,0,Bajo
57,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,610,59,2,2,0,0,2.67,18,1,12627.0,12307.48,319.52,4.69,1,0,0.0,0,Bajo
58,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,1042,47,2,2,0,0,2.42,18,0,21569.4,20503.26,1066.14,1.31,2,0,0.0,0,Bajo
59,Persona natural,Cable,Cable 50 Mbps,50,10,636,50,2,2,0,0,2.21,18,0,13165.2,13110.73,54.47,0.22,2,0,0.0,0,Bajo
60,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,990,51,2,1,0,0,2.08,18,4,20493.0,20478.8,14.2,2.36,1,0,0.0,0,Bajo
61,Persona natural,Inalámbrico,Inalámbrico 20 Mbps,20,10,531,44,2,1,0,0,2.71,18,2,10991.7,10632.36,359.34,1.38,2,0,0.0,0,Bajo
62,Persona natural,Cable,Cable 50 Mbps,50,10,627,19,2,0,0,0,0.0,18,1,12978.9,12483.69,495.21,4.38,1,0,0.0,0,Bajo
63,Persona natural,Cable,Cable 100 Mbps,100,20,774,29,2,2,0,0,0.9,18,0,16021.8,15383.6,638.2,1.29,2,0,0.0,0,Bajo
64,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,955,35,2,1,0,0,2.72,18,0,19768.5,19059.86,708.64,0.93,1,0,0.0,0,Bajo
65,Empresa,Inalámbrico,Inalámbrico 50 Mbps,50,20,691,48,2,1,0,0,1.71,18,1,14303.7,14112.58,191.12,1.76,3,0,0.0,0,Bajo
66,Empresa,Fibra óptica,Fibra 100 Mbps,100,50,816,20,2,0,0,0,0.0,18,5,16891.2,15188.22,1702.98,3.49,3,1,0.3037037037037037,0,Medio
67,Empresa,Fibra óptica,Fibra 200 Mbps,200,100,973,57,2,2,0,0,2.55,18,2,20141.1,19703.89,437.21,4.29,1,0,0.0,0,Bajo
68,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,687,54,2,1,0,0,2.31,18,1,14220.9,14212.71,8.19,3.62,2,0,0.0,0,Bajo
69,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,608,39,2,2,0,0,1.67,18,0,12585.6,11641.23,944.37,0.62,2,1,1.0,1,Alto
70,Persona natural,Cable,Cable 50 Mbps,50,10,620,53,2,2,0,1,1.58,18,1,12834.0,12694.54,139.46,1.81,1,0,0.0,0,Bajo
71,Persona natural,Cable,Cable 50 Mbps,50,10,562,16,2,3,0,0,7.63,16,1,10340.8,8765.39,1575.41,12.43,4,0,0.3037037037037037,0,Medio
72,Empresa,Enlace dedicado,Dedicado 100 Mbps,100,100,3543,47,3,2,0,0,2.63,18,0,73340.1,72956.9,383.2,1.07,1,0,0.0,0,Bajo
73,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1470,10,2,5,1,2,3.55,10,1,16905.0,16169.52,735.48,4.03,6,0,0.0,0,Bajo
74,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,625,51,2,1,0,0,2.39,18,0,12937.5,12309.51,627.99,1.23,2,0,0.0,0,Bajo
75,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,984,22,2,2,0,0,1.21,18,0,20368.8,19469.47,899.33,0.75,2,0,0.0,0,Bajo
76,Persona natural,Cable,Cable 50 Mbps,50,10,572,39,2,5,0,1,2.38,18,3,11840.4,11027.36,813.04,8.94,4,0,0.0,0,Bajo
77,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1518,20,2,2,0,0,1.74,18,0,31422.6,30176.6,1246.0,0.12,3,0,0.0,0,Bajo
78,Persona natural,Inalámbrico,Inalámbrico 20 Mbps,20,10,486,26,2,5,1,1,7.25,18,2,10060.2,8523.99,1536.21,14.24,5,0,0.3037037037037037,0,Medio
79,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,692,23,2,2,0,0,2.33,18,2,14324.4,13935.15,389.25,4.96,1,0,0.0,0,Bajo
80,Empresa,Enlace dedicado,Dedicado 300 Mbps,300,300,5961,24,3,6,2,2,16.33,18,9,123392.7,79111.85,44280.85,25.02,7,0,0.45,0,Medio
81,Persona natural,Cable,Cable 100 Mbps,100,20,771,4,2,8,3,3,18.45,4,2,3546.6,2276.74,1269.86,14.09,5,0,0.14,0,Bajo
82,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,687,9,2,3,0,0,4.07,9,2,7110.45,6070.9,1039.55,7.64,2,0,0.14,0,Bajo
83,Persona natural,Cable,Cable 50 Mbps,50,10,647,12,2,1,0,1,3.51,12,3,8928.6,8621.75,306.85,4.86,2,0,0.0,0,Bajo
84,Persona natural,Inalámbrico,Inalámbrico 20 Mbps,20,10,457,27,2,4,0,2,6.26,18,5,9459.9,8410.37,1049.53,6.16,4,0,0.14,0,Bajo
85,Persona natural,Fibra óptica,Fibra 100 Mbps,100,50,812,18,2,3,0,1,7.06,18,5,16808.4,13787.9,3020.5,11.08,3,0,0.3037037037037037,0,Medio
86,Persona natural,Cable,Cable 50 Mbps,50,10,557,37,2,3,1,1,3.4,18,3,11529.9,9961.45,1568.45,11.86,6,0,0.3037037037037037,0,Medio
87,Persona natural,Fibra óptica,Fibra 100 Mbps,100,50,767,12,2,4,1,0,10.59,12,6,10584.6,8132.59,2452.01,13.98,9,1,0.6764705882352942,1,Alto
88,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,962,18,2,4,1,1,5.16,18,5,19913.4,18463.17,1450.23,6.0,5,0,0.11382113821138211,0,Bajo
89,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,698,32,2,1,0,0,0.0,18,3,14448.6,14319.78,128.82,1.97,1,0,0.0,0,Bajo
90,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1506,27,2,0,0,0,0.0,18,1,31174.2,31038.09,136.11,2.51,3,0,0.0,0,Bajo
91,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,698,35,2,0,0,0,0.0,18,2,14448.6,14308.6,140.0,3.49,2,0,0.0,0,Bajo
92,Persona natural,Cable,Cable 100 Mbps,100,20,723,19,2,8,2,5,17.1,18,8,14966.1,12534.9,2431.2,29.13,6,0,0.4722222222222222,0,Medio
93,Persona natural,Cable,Cable 100 Mbps,100,20,799,15,2,5,3,3,15.93,15,6,13782.75,11930.29,1852.46,9.95,9,0,0.3,0,Medio
94,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1475,11,2,9,1,2,10.27,11,5,18658.75,11097.28,7561.47,24.1,7,1,1.0,1,Alto
95,Persona natural,Cable,Cable 100 Mbps,100,20,760,19,2,1,0,0,2.76,18,2,15732.0,14321.82,1410.18,3.19,1,1,0.3037037037037037,0,Medio
96,Persona natural,Cable,Cable 50 Mbps,50,10,611,60,2,1,0,0,1.21,18,1,12647.7,12563.53,84.17,2.37,2,0,0.0,0,Bajo
97,Empresa,Cable,Cable 100 Mbps,100,20,772,51,2,2,0,0,1.06,18,1,15980.4,15547.46,432.94,4.37,2,0,0.0,0,Bajo
98,Persona natural,Cable,Cable 50 Mbps,50,10,568,17,2,5,0,1,4.41,17,2,11104.4,9470.51,1633.89,13.11,5,0,0.3037037037037037,0,Medio
99,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1544,18,2,6,2,1,12.27,18,8,31960.8,24019.75,7941.05,21.98,8,0,0.45,0,Medio
100,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,659,30,2,3,0,0,2.63,18,4,13641.3,11621.41,2019.89,14.6,2,0,0.3037037037037037,0,Medio
101,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1476,47,2,1,0,0,1.67,18,0,30553.2,26362.12,4191.08,1.62,1,1,0.11382113821138211,0,Bajo
102,Persona natural,Cable,Cable 50 Mbps,50,10,586,34,2,1,0,0,2.08,18,0,12130.2,12069.3,60.9,1.31,3,0,0.0,0,Bajo
103,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1496,12,2,8,2,3,6.8,12,6,20644.8,13875.41,6769.39,11.89,9,1,1.0,1,Alto
104,Persona natural,Cable,Cable 100 Mbps,100,20,796,28,2,1,0,0,1.08,18,2,16477.2,15790.94,686.26,4.12,2,0,0.0,0,Bajo
105,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1504,16,2,3,1,0,8.43,16,4,27673.6,21311.29,6362.31,8.33,5,1,0.4074074074074074,0,Medio
106,Persona natural,Inalámbrico,Inalámbrico 20 Mbps,20,10,529,8,2,3,1,0,6.24,8,0,4866.8,4581.39,285.41,1.95,3,0,0.0,0,Bajo
107,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,1037,48,2,0,0,0,1.0,18,1,21465.9,20494.57,971.33,3.79,1,0,0.0,0,Bajo
108,Persona natural,Cable,Cable 50 Mbps,50,10,628,35,2,2,0,0,1.2,18,0,12999.6,12746.99,252.61,1.73,2,0,0.0,0,Bajo
109,Persona natural,Cable,Cable 50 Mbps,50,10,563,17,2,7,1,2,8.36,17,2,11006.65,7150.15,3856.5,24.53,9,0,0.3,0,Medio
110,Persona natural,Cable,Cable 100 Mbps,100,20,781,42,2,1,0,0,1.78,18,1,16166.7,15402.24,764.46,1.11,3,0,0.0,0,Bajo
111,Persona natural,Inalámbrico,Inalámbrico 20 Mbps,20,10,495,36,2,1,0,0,3.55,18,4,10246.5,9516.08,730.42,3.56,4,0,0.0,0,Bajo
112,Empresa,Cable,Cable 100 Mbps,100,20,763,26,2,1,1,0,2.02,18,0,15794.1,15362.01,432.09,0.27,2,0,0.2,0,Bajo
113,Persona natural,Inalámbrico,Inalámbrico 20 Mbps,20,10,519,28,2,5,0,0,8.87,18,4,10743.3,9964.75,778.55,4.93,3,0,0.0,0,Bajo
114,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1475,21,2,4,2,1,17.97,18,6,30532.5,24124.84,6407.66,23.61,9,0,0.45,0,Medio
115,Persona natural,Inalámbrico,Inalámbrico 20 Mbps,20,10,473,26,2,4,0,1,2.84,18,4,9791.1,8199.0,1592.1,5.21,2,0,0.3037037037037037,0,Medio
116,Persona natural,Fibra óptica,Fibra 100 Mbps,100,50,793,32,2,0,0,0,0.0,18,1,16415.1,15911.05,504.05,2.7,3,0,0.0,0,Bajo
117,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,664,18,2,7,1,4,13.0,18,5,13744.8,9582.57,4162.23,13.01,9,1,0.6764705882352942,1,Alto
118,Persona natural,Fibra óptica,Fibra 100 Mbps,100,50,798,15,2,5,0,0,2.51,15,3,13765.5,11303.5,2462.0,12.54,6,1,0.3037037037037037,0,Medio
119,Persona natural,Cable,Cable 100 Mbps,100,20,717,7,2,4,1,1,8.15,7,3,5771.85,3799.6,1972.25,11.99,9,0,0.3,0,Medio
120,Empresa,Cable,Cable 50 Mbps,50,10,631,21,2,4,2,2,19.27,18,8,13061.7,10614.35,2447.35,24.13,6,1,0.4722222222222222,0,Medio
121,Persona natural,Cable,Cable 100 Mbps,100,20,712,29,2,2,0,0,2.69,18,1,14738.4,14658.4,80.0,2.95,1,0,0.0,0,Bajo
122,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1513,8,2,2,0,1,3.11,8,1,13919.6,12009.89,1909.71,3.51,6,0,0.11382113821138211,0,Bajo
123,Persona natural,Cable,Cable 50 Mbps,50,10,554,20,2,2,0,0,1.95,18,0,11467.8,10989.37,478.43,0.15,2,0,0.0,0,Bajo
124,Persona natural,Inalámbrico,Inalámbrico 20 Mbps,20,10,464,60,2,0,0,0,0.0,18,4,9604.8,9395.23,209.57,0.09,2,0,0.0,0,Bajo
125,Persona natural,Cable,Cable 50 Mbps,50,10,626,48,2,1,0,0,2.12,18,0,12958.2,12335.58,622.62,1.57,3,0,0.0,0,Bajo
126,Persona natural,Cable,Cable 100 Mbps,100,20,768,8,2,4,1,1,7.62,8,0,7065.6,5753.16,1312.44,1.2,5,0,0.3037037037037037,0,Medio
127,Persona natural,Fibra óptica,Fibra 100 Mbps,100,50,822,51,2,0,0,0,0.0,18,0,17015.4,15504.83,1510.57,0.69,3,1,0.3037037037037037,0,Medio
128,Persona natural,Inalámbrico,Inalámbrico 20 Mbps,20,10,478,18,2,9,1,2,17.07,18,6,9894.6,7828.14,2066.46,8.74,10,1,0.6764705882352942,1,Alto
129,Persona natural,Fibra óptica,Fibra 100 Mbps,100,50,795,33,2,2,1,0,2.99,18,1,16456.5,15721.28,735.22,0.36,2,0,0.0,0,Bajo
130,Empresa,Inalámbrico,Inalámbrico 50 Mbps,50,20,672,12,2,9,2,1,6.74,12,5,9273.6,5877.42,3396.18,11.93,4,1,0.9333333333333333,1,Alto
131,Persona natural,Inalámbrico,Inalámbrico 20 Mbps,20,10,536,20,2,4,0,0,7.84,18,4,11095.2,9626.63,1468.57,12.0,6,0,0.3037037037037037,0,Medio
132,Empresa,Enlace dedicado,Dedicado 300 Mbps,300,300,6000,29,3,1,0,0,1.81,18,0,124200.0,114381.09,9818.91,1.63,3,1,0.4074074074074074,0,Medio
133,Empresa,Enlace dedicado,Dedicado 100 Mbps,100,100,3510,8,3,2,1,0,7.95,8,3,32292.0,27229.56,5062.44,13.07,6,0,0.11382113821138211,0,Bajo
134,Persona natural,Cable,Cable 100 Mbps,100,20,731,40,2,0,0,0,0.0,18,0,15131.7,14630.38,501.32,1.26,2,0,0.0,0,Bajo
135,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,989,38,2,2,0,0,2.22,18,1,20472.3,20237.82,234.48,2.62,2,0,0.0,0,Bajo
136,Persona natural,Cable,Cable 50 Mbps,50,10,588,22,2,2,1,1,5.69,18,1,12171.6,9630.68,2540.92,12.66,3,1,0.3037037037037037,0,Medio
137,Persona natural,Fibra óptica,Fibra 100 Mbps,100,50,815,26,2,1,0,0,2.31,18,2,16870.5,16794.54,75.96,4.04,2,0,0.0,0,Bajo
138,Persona natural,Cable,Cable 50 Mbps,50,10,573,12,2,2,0,0,6.32,12,6,7907.4,6617.88,1289.52,8.04,4,0,0.14,0,Bajo
139,Persona natural,Fibra óptica,Fibra 100 Mbps,100,50,791,23,2,0,0,0,0.0,18,1,16373.7,15873.58,500.12,4.81,1,0,0.0,0,Bajo
140,Persona natural,Cable,Cable 100 Mbps,100,20,765,15,2,3,1,0,8.05,15,2,13196.25,12095.82,1100.43,7.06,3,0,0.14,0,Bajo
141,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,1038,52,2,0,0,0,0.0,18,2,21486.6,20915.48,571.12,4.34,1,0,0.0,0,Bajo
142,Persona natural,Cable,Cable 50 Mbps,50,10,586,34,2,1,0,1,2.2,18,2,12130.2,12092.47,37.73,0.89,2,0,0.0,0,Bajo
143,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,648,60,2,1,0,0,1.36,18,2,13413.6,12795.19,618.41,1.08,2,0,0.0,0,Bajo
144,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,1016,60,2,0,0,0,0.0,18,0,21031.2,21022.22,8.98,0.65,3,0,0.0,0,Bajo
145,Persona natural,Cable,Cable 100 Mbps,100,20,729,54,2,2,0,0,2.84,18,4,15090.3,14767.07,323.23,0.47,2,0,0.0,0,Bajo
146,Empresa,Enlace dedicado,Dedicado 300 Mbps,300,300,5988,23,3,2,0,0,2.42,18,1,123951.6,122387.82,1563.78,4.25,3,0,0.11382113821138211,0,Bajo
147,Persona natural,Cable,Cable 100 Mbps,100,20,704,28,2,5,0,0,8.8,18,3,14572.8,14128.38,444.42,9.29,6,0,0.0,0,Bajo
148,Persona natural,Cable,Cable 100 Mbps,100,20,710,25,2,2,0,0,1.22,18,3,14697.0,14564.83,132.17,0.07,2,0,0.0,0,Bajo
149,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,1043,42,2,2,0,0,5.84,18,6,21590.1,17342.1,4248.0,13.41,6,0,0.11382113821138211,0,Bajo
150,Empresa,Enlace dedicado,Dedicado 300 Mbps,300,300,6012,56,3,2,0,0,2.93,18,2,124448.4,121679.05,2769.35,1.4,3,0,0.11382113821138211,0,Bajo
151,Persona natural,Cable,Cable 50 Mbps,50,10,615,22,2,4,0,0,5.14,18,4,12730.5,11058.26,1672.24,12.19,3,1,0.3037037037037037,0,Medio
152,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,680,35,2,0,0,0,0.0,18,1,14076.0,13508.22,567.78,0.06,1,0,0.0,0,Bajo
153,Persona natural,Inalámbrico,Inalámbrico 20 Mbps,20,10,474,10,2,4,1,0,9.87,10,1,5451.0,4422.04,1028.96,8.85,7,0,0.14,0,Bajo
154,Empresa,Enlace dedicado,Dedicado 300 Mbps,300,300,6044,5,3,8,2,3,11.34,5,1,34753.0,26071.61,8681.39,11.95,8,0,0.45,0,Medio
155,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1506,9,2,2,1,0,3.41,9,3,15587.1,13083.13,2503.97,14.7,5,1,1.0,1,Alto
156,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,991,17,2,2,0,0,4.94,17,3,19374.05,17479.4,1894.65,3.08,4,0,0.11382113821138211,0,Bajo
157,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,955,19,2,2,0,1,7.98,18,4,19768.5,16042.2,3726.3,8.13,6,0,0.11382113821138211,0,Bajo
